ibge7;Município;Proporção da população atendida pela Estratégia de Saúde da Família;Cobertura vacinal contra poliomielite em menores de 1 ano;Cobertura vacinal de tríplice viral da população de 1 ano de idade;Cobertura vacinal de febre amarela em menores de 1 ano
3100104;Abadia dos Dourados;82,07;92,31;111,54;94,23
3100203;Abaeté;74,19;74,18;77,46;67,21
3100302;Abre Campo;100;132,59;130,37;122,96
3100401;Acaiaca;100;150;152,78;125
3100500;Açucena;100;76,99;84,96;79,65
3100609;Água Boa;100;82,63;95,79;78,42
3100708;Água Comprida;100;45;50;40
3100807;Aguanil;100;75;152,27;70,45
3100906;Águas Formosas;100;69,29;70,08;64,96
3101003;Águas Vermelhas;100;89,6;96,53;87,86
3101102;Aimorés;100;103,77;106,29;100,63
3101201;Aiuruoca;96,22;92,45;90,57;98,11
3101300;Alagoa;100;140;125;135
3101409;Albertina;47,74;113,04;156,52;165,22
3101508;Além Paraíba;51,16;74,69;78,87;65,11
3101607;Alfenas;67,51;52,3;60,52;51,8
3101631;Alfredo Vasconcelos;100;210,2;183,67;202,04
3101706;Almenara;81,86;72,9;86,19;74,13
3101805;Alpercata;100;54,35;54,35;64,13
3101904;Alpinópolis;86,43;103,95;100,44;107,89
3102001;Alterosa;100;84,41;92,47;83,87
3102050;Alto Caparaó;100;98,7;114,29;92,21
3153509;Alto Jequitibá;100;137,62;130,69;128,71
3102100;Alto Rio Doce;100;103,6;100,9;109,91
3102209;Alvarenga;100;149,02;131,37;154,9
3102308;Alvinópolis;100;96,15;94,87;101,28
3102407;Alvorada de Minas;100;91,53;47,46;62,71
3102506;Amparo da Serra;100;60;46,15;46,15
3102605;Andradas;27,78;92,9;94,87;86,59
3102803;Andrelândia;100;63,96;80,18;62,16
3102852;Angelândia;100;120,39;107,77;92,23
3102902;Antônio Carlos;100;90,77;106,15;81,54
3103009;Antônio Dias;100;141,05;114,74;130,53
3103108;Antônio Prado de Minas;100;144,44;133,33;66,67
3103207;Araçaí;100;43,33;60;56,67
3103306;Aracitaba;100;94,44;194,44;150
3103405;Araçuaí;100;81,4;85,81;66,28
3103504;Araguari;62,95;75,86;81,35;69,32
3103603;Arantina;100;68,42;68,42;78,95
3103702;Araponga;100;122,62;100;103,57
3103751;Araporã;100;100;112,8;91,2
3103801;Arapuá;100;158,82;152,94;117,65
3103900;Araújos;100;93,62;111,7;98,94
3104007;Araxá;56,52;66,91;69,35;58,98
3104106;Arceburgo;79,25;112,5;129,17;115,28
3104205;Arcos;93,98;96,18;107,03;86,95
3104304;Areado;83,33;90,32;111,61;84,52
3104403;Argirita;100;129,17;162,5;112,5
3104452;Aricanduva;100;116,13;109,68;103,23
3104502;Arinos;100;83,25;77,99;73,21
3104601;Astolfo Dutra;80,59;116,54;111,02;110,24
3104700;Ataléia;100;68,06;98,61;84,72
3104809;Augusto de Lima;100;118,42;147,37;150
3104908;Baependi;100;109,52;116,4;108,99
3105004;Baldim;100;98,67;102,67;97,33
3105103;Bambuí;100;88,03;94,87;76,5
